,,Field,Type,Null,Key,Default,Extra,ADD/Old Field Names,0,1,2,3,4,5,6,7,8,9,10,11,12
structurefield,site,site_serviceid,char(25),NO,PRI,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_wwwurl,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_wwwindexpage,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_server,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_protocol,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_perlurl,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_phpurl,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_jsurl,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_cssurl,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_yuiurl,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_asseturl,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_tinymceurl,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_filepath,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_wwwpath,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_templateurl,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_studiourl,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_modeid,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_extradirectory,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_codeversion,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_systemdate,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_simulation,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_testdata,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_readonly,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_mailsendmethod,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_mailssmtppassword,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_mailserviceurl,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_mailservicetoken,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_defaultemailaddress,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_smssendmethod,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_smsserviceurl,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_smsserviceusername,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_smsservicepassword,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_clientservermode,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_synchroniseurl,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_synchroniseappversion,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_registrationmethod,tinytext,YES,,,,ADD,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,site,site_registrationkey,tinytext,YES,,,,ADD,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structureend,site,,,,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
,,,,,,,,,,,,,,,,,,,,,
structureheader,account,,,,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_id,char(25),NO,PRI,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
